CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Nigeria,NGA,1969,54859201.0,17.512999999999998
Northern Mariana Islands,MNP,1969,12766.0,67.384
Norway,NOR,1969,3847707.0,63.881
Oman,OMN,1969,700729.0,28.093000000000004
Pakistan,PAK,1969,56545924.0,24.552
Palau,PLW,1969,11335.0,59.428999999999995
Panama,PAN,1969,1476478.0,47.038000000000004
Papua New Guinea,PNG,1969,2371515.0,8.649
Paraguay,PRY,1969,2412565.0,36.9
Peru,PER,1969,12982444.0,56.309
Philippines,PHL,1969,34787588.0,32.672
Poland,POL,1969,32548300.0,51.726000000000006
Portugal,PRT,1969,8757705.0,38.414
Puerto Rico,PRI,1969,2684150.0,57.077
Qatar,QAT,1969,100697.0,88.103
Romania,ROM,1969,20009141.0,39.821999999999996
Russian Federation,RUS,1969,129664000.0,61.638000000000005
Rwanda,RWA,1969,3640591.0,3.1289999999999996
Samoa,WSM,1969,140520.0,20.097
San Marino,SMR,1969,18895.0,58.735
Sao Tome and Principe,STP,1969,72240.0,27.861
Saudi Arabia,SAU,1969,5601649.0,46.655
Senegal,SEN,1969,4093763.0,29.247
Seychelles,SYC,1969,52365.0,37.846
Sierra Leone,SLE,1969,2473165.0,23.218000000000004
Singapore,SGP,1969,2042500.0,100.0
Slovak Republic,SVK,1969,4518607.0,40.243
Slovenia,SVN,1969,1713874.0,36.080999999999996
Solomon Islands,SLB,1969,154876.0,8.67
Somalia,SOM,1969,3385414.0,22.115
South Africa,ZAF,1969,21612522.0,47.70399999999999
South Sudan,SSD,1969,3564079.0,8.645
Spain,ESP,1969,33441054.0,65.108
Sri Lanka,LKA,1969,12252000.0,19.125
St. Kitts and Nevis,KNA,1969,45534.0,33.567
St. Lucia,LCA,1969,102747.0,23.654
St. Vincent and the Grenadines,VCT,1969,89518.0,30.186999999999998
Sudan,SDN,1969,9909152.0,15.847999999999999
Suriname,SUR,1969,366845.0,46.18
Swaziland,SWZ,1969,433709.0,9.001
Sweden,SWE,1969,7968072.0,80.28699999999999
Switzerland,CHE,1969,6136387.0,56.742
Syrian Arab Republic,SYR,1969,6166933.0,42.67100000000001
Tajikistan,TJK,1969,2829641.0,36.777
Tanzania,TZA,1969,13186560.0,7.311
